Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,14,6,6,0.429,1.0,0.6
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,11,6,6,0.545,1.0,0.706
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,9,6,6,0.667,1.0,0.8
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwq_32b_qwq_reasoning_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,12,9,9,0.75,1.0,0.857
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,17,9,9,0.529,1.0,0.692
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,19,9,9,0.474,1.0,0.643
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,19,9,9,0.474,1.0,0.643
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,18,9,9,0.5,1.0,0.667
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,12,9,9,0.75,1.0,0.857
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,13,9,9,0.692,1.0,0.818
DCCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,17,9,9,0.529,1.0,0.692
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,14,8,6,0.429,0.75,0.545
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,12,8,6,0.5,0.75,0.6
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,11,8,8,0.727,1.0,0.842
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,8,8,7,0.875,0.875,0.875
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,6,8,5,0.833,0.625,0.714
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,7,8,7,1.0,0.875,0.933
DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,4,8,4,1.0,0.5,0.667
DHCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,5,8,5,1.0,0.625,0.769
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,7,10,4,0.571,0.4,0.471
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,22,10,6,0.273,0.6,0.375
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,16,10,2,0.125,0.2,0.154
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,18,10,6,0.333,0.6,0.429
FTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,11,10,3,0.273,0.3,0.286
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,10,0,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,2,10,1,0.5,0.1,0.167
FTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,10,0,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,20,5,5,0.25,1.0,0.4
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,18,5,5,0.278,1.0,0.435
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,21,5,5,0.238,1.0,0.385
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,12,5,5,0.417,1.0,0.588
IMAP,qwen3.5_27b_qwen_think_ollama_json_schema_output,6,5,5,0.833,1.0,0.909
IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,7,5,4,0.571,0.8,0.667
IMAP,qwen3.5_9b_qwen_think_ollama_json_schema_output,5,5,4,0.8,0.8,0.8
IMAP,qwq_32b_qwq_reasoning_ollama_json_schema_output,9,5,4,0.444,0.8,0.571
MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,4,12,4,1.0,0.333,0.5
