Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,30,6,6,0.2,1.0,0.333
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,16,6,6,0.375,1.0,0.545
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,14,6,6,0.429,1.0,0.6
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwq_32b_qwq_reasoning_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,51,9,9,0.176,1.0,0.3
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,44,9,9,0.205,1.0,0.34
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,29,9,9,0.31,1.0,0.474
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,24,9,9,0.375,1.0,0.545
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,18,9,9,0.5,1.0,0.667
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,17,9,9,0.529,1.0,0.692
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,14,9,9,0.643,1.0,0.783
DCCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,20,9,9,0.45,1.0,0.621
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,7,8,7,1.0,0.875,0.933
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,17,8,8,0.471,1.0,0.64
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,9,8,8,0.889,1.0,0.941
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,7,8,7,1.0,0.875,0.933
DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,8,0,0.0,0.0,0.0
DHCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,9,8,8,0.889,1.0,0.941
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,25,10,6,0.24,0.6,0.343
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,33,10,5,0.152,0.5,0.233
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,36,10,7,0.194,0.7,0.304
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,19,10,5,0.263,0.5,0.345
FTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,8,10,2,0.25,0.2,0.222
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,10,0,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,10,0,0.0,0.0,0.0
FTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,10,0,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,0,5,0,0.0,0.0,0.0
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,22,5,5,0.227,1.0,0.37
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,25,5,5,0.2,1.0,0.333
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,11,5,4,0.364,0.8,0.5
IMAP,qwen3.5_27b_qwen_think_ollama_json_schema_output,6,5,4,0.667,0.8,0.727
IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,8,5,4,0.5,0.8,0.615
